Club,Name,market_value
Stade Reims,Emmanuel Agbadou,2.6
1.FSV Mainz 05,Andreas Hanche-Olsen,2.5
Basaksehir,Léo Duarte,2
Austin,Leo Väisänen,1.8
Vasco da Gama,Manuel Capasso,1.4
São Paulo,Alan Franco,2.85
RB Bragantino,Lucas Cunha,1.5
Vasco da Gama,Léo,2.8
Zenit S-Pb,Rodrigão,3.5
Rangers,Ben Davies,4.7
UD Almería,Srdjan Babic,1.1
CSKA Moscow,Willyan Rocha,2
Charlotte,Bill Tuiloma,7.5
Watford,Wesley Hoedt,2
Angers SCO,Cédric Hountondji,2
Fenerbahce,Samet Akaydin,3.7
Colorado,Andreas Maxsö,6.5
Ural,Silvije Begic,5
Ettifaq FC,Marcel Tisserand,3
Maccabi Haifa,Abdoulaye Seck,3.9
Besiktas,Omar Colley,2.3
Club Brugge,Dedryck Boyata,2
Wolves,Craig Dawson,3.75
Cremonese,Vlad Chiriches,2
San Lorenzo,Rafael Pérez,6.44
Nottm Forest,Felipe,2.3
Olympique Lyon,Dejan Lovren,2
Chelsea U21,Jimmy-Jay Morgan,3.4
Udinese U19,Vivaldo,3
RB Salzburg,Karim Konaté,3.5
Darmstadt 98,Oscar Vilhelmsson,1.2
Juventus U19,Tommaso Mancini,2
UD Almería,Marko Milovanovic,3.5
Sturm Graz,William Böving,2.2
